parameter,value,threshold,accuracy,precision,recall,f1,auc
learning_rate,2e-05,0.5,0.8675496688741722,0.7383561643835617,0.5637362637362637,0.5791527313266444,0.8831501831501831
learning_rate,3e-05,0.5,0.8543046357615894,0.6764214046822743,0.615934065934066,0.6354258121158911,0.8948717948717948
learning_rate,5e-05,0.5,0.8940397350993378,0.786215978928885,0.7388278388278389,0.759170653907496,0.9003663003663004
batch_size,8.0,0.5,0.8609271523178808,0.4304635761589404,0.5,0.4626334519572954,0.8813186813186813
batch_size,16.0,0.5,0.8609271523178808,0.4304635761589404,0.5,0.4626334519572954,0.7318681318681318
batch_size,32.0,0.5,0.8609271523178808,0.4304635761589404,0.5,0.4626334519572954,0.7476190476190476
epochs,2.0,0.5,0.8609271523178808,0.4304635761589404,0.5,0.4626334519572954,0.7882783882783883
epochs,3.0,0.5,0.8609271523178808,0.698905109489051,0.6397435897435897,0.6606741573033708,0.8267399267399268
epochs,4.0,0.5,0.8940397350993378,0.7787545787545788,0.7787545787545788,0.7787545787545788,0.9230769230769231
threshold,0.4,0.4,0.847682119205298,0.6595411887382691,0.6120879120879121,0.6283574103798824,0.8721611721611722
threshold,0.5,0.5,0.8609271523178808,0.4304635761589404,0.5,0.4626334519572954,0.8813186813186813
threshold,0.6,0.6,0.8609271523178808,0.4304635761589404,0.5,0.4626334519572954,0.8813186813186813
